left_policy,right_policy,metric,paired_seed_count,left_mean,right_mean,left_minus_right_mean,left_wins,right_wins,ties
twogate,dest_val_nocap,active_test_iid_acc,64,0.9973487854003906,0.9973182678222656,3.0517578125e-05,1,0,63
twogate,dest_val_nocap,active_test_shift_acc,64,0.016574859619140625,0.01662445068359375,-4.9591064453125e-05,0,1,63
twogate,dest_val_nocap,active_correction_train_gain,64,0.6795247395833334,0.68359375,-0.004069010416666666,0,1,63
twogate,dest_val_nocap,active_correction_eval_gain,64,0.6690559387207031,0.6733512878417969,-0.00429534912109375,0,1,63
twogate,dest_val,active_test_iid_acc,64,0.9973487854003906,0.9975090026855469,-0.00016021728515625,21,34,9
twogate,dest_val,active_test_shift_acc,64,0.016574859619140625,0.011260986328125,0.005313873291015625,51,11,2
twogate,dest_val,active_correction_train_gain,64,0.6795247395833334,0.9134114583333333,-0.23388671875,3,58,3
twogate,dest_val,active_correction_eval_gain,64,0.6690559387207031,0.9149742126464844,-0.24591827392578125,4,58,2
twogate,dest_train,active_test_iid_acc,64,0.9973487854003906,0.9973220825195312,2.6702880859375e-05,29,28,7
twogate,dest_train,active_test_shift_acc,64,0.016574859619140625,0.01122283935546875,0.005352020263671875,55,8,1
twogate,dest_train,active_correction_train_gain,64,0.6795247395833334,0.9683430989583334,-0.288818359375,0,64,0
twogate,dest_train,active_correction_eval_gain,64,0.6690559387207031,0.9684638977050781,-0.299407958984375,0,64,0
